"","year","type","date_ref","sex","age","deaths"
"202",1977,"x5",1977.5,"m",85,1741.8375
"203",1978,"x5",1978.5,"f",0,6985.28904528054
"204",1978,"x5",1978.5,"f",1,4677.3380766405
"205",1978,"x5",1978.5,"f",5,838.603302269827
"206",1978,"x5",1978.5,"f",10,479.20188701133
"207",1978,"x5",1978.5,"f",15,645.079463284482
"208",1978,"x5",1978.5,"f",20,663.51030509261
"209",1978,"x5",1978.5,"f",25,591.834809172113
"210",1978,"x5",1978.5,"f",30,520.159313251614
"211",1978,"x5",1978.5,"f",35,597.978423108155
"212",1978,"x5",1978.5,"f",40,631.76829975639
"213",1978,"x5",1978.5,"f",45,625.624685820347
"214",1978,"x5",1978.5,"f",50,674.773597308689
"215",1978,"x5",1978.5,"f",55,666.582112060632
"216",1978,"x5",1978.5,"f",60,952.260160086617
"217",1978,"x5",1978.5,"f",65,929.73357565446
"218",1978,"x5",1978.5,"f",70,1298.35041181702
"219",1978,"x5",1978.5,"f",75,2.04787131201423
"220",1978,"x5",1978.5,"f",79,1230.77065852055
"221",1978,"x5",1978.5,"f",80,1325.99667452921
"222",1978,"x5",1978.5,"f",85,2141.04945671088
"223",1978,"x5",1978.5,"f",95,2.04787131201423
"224",1978,"x5",1978.5,"m",0,8127.4430129173
"225",1978,"x5",1978.5,"m",1,4592.01036738802
"226",1978,"x5",1978.5,"m",5,928.937460157692
"227",1978,"x5",1978.5,"m",10,597.680590504949
"228",1978,"x5",1978.5,"m",15,759.763462506291
"229",1978,"x5",1978.5,"m",20,914.755208857574
"230",1978,"x5",1978.5,"m",25,845.869988257004
"231",1978,"x5",1978.5,"m",30,754.698372756249
"232",1978,"x5",1978.5,"m",35,781.036839456467
"233",1978,"x5",1978.5,"m",40,845.869988257004
"234",1978,"x5",1978.5,"m",45,912.729172957557
"235",1978,"x5",1978.5,"m",50,945.145747357826
"236",1978,"x5",1978.5,"m",55,1014.0309679584
"237",1978,"x5",1978.5,"m",60,1261.20734776044
"238",1978,"x5",1978.5,"m",65,1276.40261701057
"239",1978,"x5",1978.5,"m",70,1496.22751216239
"240",1978,"x5",1978.5,"m",75,3.03905385002516
"241",1978,"x5",1978.5,"m",79,1492.17544036236
"242",1978,"x5",1978.5,"m",80,1154.84046300956
"243",1978,"x5",1978.5,"m",85,1488.12336856232
"244",1978,"x5",1978.5,"m",95,1.01301795000839
"245",1979,"x5",1979.5,"f",0,7553.65150544523
"246",1979,"x5",1979.5,"f",1,5608.8380311766
"247",1979,"x5",1979.5,"f",5,864.137732222934
"248",1979,"x5",1979.5,"f",10,459.26201153107
"249",1979,"x5",1979.5,"f",15,545.877215460175
"250",1979,"x5",1979.5,"f",20,613.356502242152
"251",1979,"x5",1979.5,"f",25,556.955904334828
"252",1979,"x5",1979.5,"f",30,570.0489002776
"253",1979,"x5",1979.5,"f",35,597.242045697203
"254",1979,"x5",1979.5,"f",40,630.478112321162
"255",1979,"x5",1979.5,"f",45,630.478112321162
"256",1979,"x5",1979.5,"f",50,660.692718342943
"257",1979,"x5",1979.5,"f",55,676.807174887892
"258",1979,"x5",1979.5,"f",60,864.137732222934
"259",1979,"x5",1979.5,"f",65,1221.67723681401
"260",1979,"x5",1979.5,"f",70,1205.56278026906
"261",1979,"x5",1979.5,"f",75,6.04292120435618
"262",1979,"x5",1979.5,"f",79,1353.61434977578
"263",1979,"x5",1979.5,"f",80,1331.45697202648
"264",1979,"x5",1979.5,"f",85,2348.68204142644
"265",1979,"x5",1979.5,"m",0,8418.40378809547
"266",1979,"x5",1979.5,"m",1,5622.67969618966
"267",1979,"x5",1979.5,"m",5,1035.67724918168
"268",1979,"x5",1979.5,"m",10,583.324053770617
"269",1979,"x5",1979.5,"m",15,711.272507706486
"270",1979,"x5",1979.5,"m",20,943.997648329997
"271",1979,"x5",1979.5,"m",25,854.332983760765
"272",1979,"x5",1979.5,"m",30,732.42933867226
"273",1979,"x5",1979.5,"m",35,807.989449264309
"274",1979,"x5",1979.5,"m",40,790.862490863444
"275",1979,"x5",1979.5,"m",45,895.639177551085
"276",1979,"x5",1979.5,"m",50,943.997648329997
"277",1979,"x5",1979.5,"m",55,1002.43080052118
"278",1979,"x5",1979.5,"m",60,1208.96176947278
"279",1979,"x5",1979.5,"m",65,1437.65703753138
"280",1979,"x5",1979.5,"m",70,1518.25448882957
"281",1979,"x5",1979.5,"m",75,3.02240442368195
"282",1979,"x5",1979.5,"m",79,1537.39638351289
"283",1979,"x5",1979.5,"m",80,1107.20748720882
"284",1979,"x5",1979.5,"m",85,1543.44119236025
"285",1979,"x5",1979.5,"m",90,3.02240442368195
"286",1980,"x5",1980.5,"f",0,6524.68113229171
"287",1980,"x5",1980.5,"f",1,4202.28574702983
"288",1980,"x5",1980.5,"f",5,761.028001680865
"289",1980,"x5",1980.5,"f",10,480.808419604997
"290",1980,"x5",1980.5,"f",15,562.455132368109
"291",1980,"x5",1980.5,"f",20,615.878290101998
"292",1980,"x5",1980.5,"f",25,543.303434312564
"293",1980,"x5",1980.5,"f",30,517.095847499713
"294",1980,"x5",1980.5,"f",35,584.630782748214
"295",1980,"x5",1980.5,"f",40,630.998051724797
"296",1980,"x5",1980.5,"f",45,592.694655613707
"297",1980,"x5",1980.5,"f",50,744.90025594988
"298",1980,"x5",1980.5,"f",55,708.612828055163
"299",1980,"x5",1980.5,"f",60,1004.96015586202
"300",1980,"x5",1980.5,"f",65,1038.22363143217
"301",1980,"x5",1980.5,"f",70,1298.28353134431
"302",1980,"x5",1980.5,"f",75,1.00798410818658
"303",1980,"x5",1980.5,"f",79,1332.55499102265
"304",1980,"x5",1980.5,"f",80,1500.88833708981
"305",1980,"x5",1980.5,"f",85,2738.69282194293
"306",1980,"x5",1980.5,"f",90,1.00798410818658
"307",1980,"x5",1980.5,"f",100,1.00798410818658
"308",1980,"x5",1980.5,"m",0,7872.7734174719
"309",1980,"x5",1980.5,"m",1,4073.62039045553
"310",1980,"x5",1980.5,"m",5,845.601656478012
"311",1980,"x5",1980.5,"m",10,600.397357523171
"312",1980,"x5",1980.5,"m",15,802.211595346086
"313",1980,"x5",1980.5,"m",20,1056.49753500296
"314",1980,"x5",1980.5,"m",25,956.599487280615
"315",1980,"x5",1980.5,"m",30,780.012029185565
"316",1980,"x5",1980.5,"m",35,793.129954644054
"317",1980,"x5",1980.5,"m",40,873.85564977322
"318",1980,"x5",1980.5,"m",45,955.590416091501
"319",1980,"x5",1980.5,"m",50,1019.16190100572
"320",1980,"x5",1980.5,"m",55,1019.16190100572
"321",1980,"x5",1980.5,"m",60,1312.80161703806
"322",1980,"x5",1980.5,"m",65,1361.23703411556
"323",1980,"x5",1980.5,"m",70,1597.35969236837
"324",1980,"x5",1980.5,"m",75,3.02721356734372
"325",1980,"x5",1980.5,"m",79,1556.99684480379
"326",1980,"x5",1980.5,"m",80,1397.56359692368
"327",1980,"x5",1980.5,"m",85,1823.39163873003
"328",1980,"x5",1980.5,"m",90,1.00907118911457
"329",1981,"x5",1981.5,"f",0,6398.14700609537
"330",1981,"x5",1981.5,"f",1,4092.13338114019
"331",1981,"x5",1981.5,"f",5,737.1932592327
"332",1981,"x5",1981.5,"f",10,435.614198637505
"333",1981,"x5",1981.5,"f",15,588.942273216207
"334",1981,"x5",1981.5,"f",20,606.204374327716
"335",1981,"x5",1981.5,"f",25,549.340982430979
"336",1981,"x5",1981.5,"f",30,529.032628182144
"337",1981,"x5",1981.5,"f",35,564.572248117605
"338",1981,"x5",1981.5,"f",40,572.695589817139
"339",1981,"x5",1981.5,"f",45,600.111868053066
"340",1981,"x5",1981.5,"f",50,680.329867335963
"341",1981,"x5",1981.5,"f",55,704.699892434564
"342",1981,"x5",1981.5,"f",60,885.444245249193
"343",1981,"x5",1981.5,"f",65,988.001434205809
"344",1981,"x5",1981.5,"f",70,1294.65758336321
"345",1981,"x5",1981.5,"f",75,1.01541771244174
"346",1981,"x5",1981.5,"f",79,1218.50125493008
"347",1981,"x5",1981.5,"f",80,1518.04948010039
"348",1981,"x5",1981.5,"f",85,2522.29759770527
"349",1981,"x5",1981.5,"f",100,1.01541771244174
"350",1981,"x5",1981.5,"m",0,7205.81755434223
"351",1981,"x5",1981.5,"m",1,4181.86628206449
"352",1981,"x5",1981.5,"m",5,892.496171147969
"353",1981,"x5",1981.5,"m",10,544.007314309261
"354",1981,"x5",1981.5,"m",15,780.047731877339
"355",1981,"x5",1981.5,"m",20,986.709728374712
"356",1981,"x5",1981.5,"m",25,900.600563167474
"357",1981,"x5",1981.5,"m",30,831.713231001683
"358",1981,"x5",1981.5,"m",35,791.191270904159
"359",1981,"x5",1981.5,"m",40,815.504446962673
"360",1981,"x5",1981.5,"m",45,855.013358057759
"361",1981,"x5",1981.5,"m",50,992.788022389341
"362",1981,"x5",1981.5,"m",55,1003.93156141616
"363",1981,"x5",1981.5,"m",60,1294.6766251159
"364",1981,"x5",1981.5,"m",65,1338.23773222073
