"LocID","Time","Sex","AgeGrpStart","lx","qx","ex","ax","Sx"
218,2022,"Male",58,85139.705,0.00976326,22.0083,0.5,0.99066169
218,2022,"Male",59,84308.464,0.01067399,21.2203,0.5,0.98978361
218,2022,"Male",60,83408.556,0.01162038,20.4439,0.5,0.98885535
218,2022,"Male",61,82439.317,0.01258128,19.6784,0.5,0.98790198
218,2022,"Male",62,81402.125,0.01354192,18.9227,0.5,0.98694144
218,2022,"Male",63,80299.784,0.01451216,18.1756,0.5,0.98597627
218,2022,"Male",64,79134.461,0.01553415,17.4359,0.5,0.98498058
218,2022,"Male",65,77905.175,0.01667543,16.7031,0.5,0.98389968
218,2022,"Male",66,76606.073,0.01801621,15.9779,0.5,0.98265982
218,2022,"Male",67,75225.921,0.01962456,15.2619,0.5,0.98118692
218,2022,"Male",68,73749.646,0.02160623,14.5574,0.5,0.97939442
218,2022,"Male",69,72156.193,0.02394389,13.8678,0.5,0.9772377
218,2022,"Male",70,70428.493,0.02649849,13.1957,0.5,0.97479429
218,2022,"Male",71,68562.245,0.02908238,12.5413,0.5,0.97222691
218,2022,"Male",72,66568.292,0.03147867,11.902,0.5,0.96973715
218,2022,"Male",73,64472.81,0.03367612,11.2726,0.5,0.96744017
218,2022,"Male",74,62301.616,0.03583254,10.648,0.5,0.96526413
218,2022,"Male",75,60069.191,0.03825865,10.0252,0.5,0.96297654
218,2022,"Male",76,57771.025,0.04141868,9.4041,0.5,0.96019215
218,2022,"Male",77,55378.225,0.04577206,8.7888,0.5,0.95645066
218,2022,"Male",78,52843.45,0.05222384,8.1864,0.5,0.95107761
218,2022,"Male",79,50083.762,0.06117624,7.6099,0.5,0.94341998
218,2022,"Male",80,47019.826,0.07223398,7.0732,0.5,0.93346935
218,2022,"Male",81,43623.397,0.08462635,6.585,0.5,0.92180201
218,2022,"Male",82,39931.708,0.09706468,6.1476,0.5,0.90942926
218,2022,"Male",83,36055.75,0.10873436,5.7547,0.5,0.8973981
218,2022,"Male",84,32135.251,0.11936873,5.3957,0.5,0.88625416
218,2022,"Male",85,28299.307,0.12909505,5.0593,0.5,0.87607679
218,2022,"Male",86,24646.006,0.13877245,4.7352,0.5,0.86640013
218,2022,"Male",87,21225.82,0.14931928,4.4176,0.5,0.85634732
218,2022,"Male",88,18056.396,0.16222172,4.1053,0.5,0.84475001
218,2022,"Male",89,15127.256,0.17822932,3.8034,0.5,0.83048098
218,2022,"Male",90,12431.135,0.19680719,3.5198,0.5,0.81339051
218,2022,"Male",91,9984.599,0.21717515,3.2598,0.5,0.79412034
218,2022,"Male",92,7816.192,0.23824624,3.0254,0.5,0.77357269
218,2022,"Male",93,5954.014,0.25989053,2.8152,0.5,0.75239512
218,2022,"Male",94,4406.622,0.28190978,2.6282,0.5,0.73074417
218,2022,"Male",95,3164.352,0.30166797,2.4637,0.5,0.70983212
218,2022,"Male",96,2209.768,0.32326754,2.3121,0.5,0.68945057
218,2022,"Male",97,1495.422,0.34373881,2.1777,0.5,0.66847022
218,2022,"Male",98,981.387,0.36341709,2.0564,0.5,0.64846406
218,2022,"Male",99,624.734,0.38297675,1.9449,0.5,0.62897478
218,2022,"Male",100,385.476,1,1.8417,1.841721,0.58429061
